timestamp_us,vx,yaw_rate,steering_angle,ax,ay,gear
1083050000,2.08708,-0.0532361,-0.930277,0.000537685,-0.000316581,1
1083070000,2.35212,-0.0487193,-0.851342,0.00120056,-0.000412378,1
1083090000,2.61544,-0.0442106,-0.772561,0.00182543,-0.000498263,1
1083110000,2.87881,-0.0396922,-0.693628,0.00240438,-0.000572491,1
1083130000,3.14238,-0.0351501,-0.614229,0.00293227,-0.000636111,1
1083150000,3.41862,-0.0309845,-0.541016,0.00326541,-0.000684329,1
1083170000,3.69486,-0.0268189,-0.467803,0.00359855,-0.000732547,1
1083190000,3.97110,-0.0226533,-0.394590,0.00393169,-0.000780766,1
1083210000,4.24734,-0.0184877,-0.321376,0.00426483,-0.000828984,1
1083230000,4.52358,-0.0143221,-0.248163,0.00459797,-0.000877202,1
